fecha_asignacion,correlativo_aspirante,sexo,anio_nacimiento,materia,numero_de_fecha_de_evaluaci,anio_de_ingreso,aprobacion,carrera_objetivo,departamento_institucion_ed,municipio_institucion_,tipo_institucion_educativa
2022-09-27,c4acc35bebf8cb12ff2f4a,M,2003,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,CHIMALTENANGO,CHIMALTENANGO,PRIVADO
2022-09-27,c4acc35bebf8cb12ff2f4a,M,2003,MATEMATICA,1,2023,APROBADO,INGENIERIA EN CIENCIAS Y ,CHIMALTENANGO,CHIMALTENANGO,PRIVADO
2022-09-27,aec33bd790e6b5d22293,F,2002,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,SACATEPEQUEZ,ANTIGUA GUATEMAL,PRIVADO
2022-09-27,aec33bd790e6b5d22293,F,2002,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,SACATEPEQUEZ,ANTIGUA GUATEMAL,PRIVADO
2022-09-27,a9b83dd6eb773341af23,M,1998,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,PETAPA,PRIVADO
2022-09-27,a9b83dd6eb773341af23,M,1998,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,PETAPA,PRIVADO
2022-09-27,3407ca578acf87a048ed,M,2003,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,df9a70cfab8e44d1f9482,M,2002,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,MIXCO,PRIVADO
2022-09-27,aff38645a7b97ac6d6ce3,M,2003,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,aff38645a7b97ac6d6ce3,M,2003,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,80284e494bb064b0da21,M,2003,COMPUTACION,1,2023,APROBADO,INGENIERIA ELECTRONICA,GUATEMALA,MIXCO,PRIVADO
2022-09-27,80284e494bb064b0da21,M,2003,MATEMATICA,1,2023,NO APROBADO,INGENIERIA ELECTRONICA,GUATEMALA,MIXCO,PRIVADO
2022-09-27,55fc014bcbab4888dcee,F,2004,MATEMATICA,1,2023,APROBADO,INGENIERIA QUIMICA,QUEZALTENANGO,COATEPEQUE,PRIVADO
2022-09-27,8c7e84a5affd3912fc5a2,M,2002,MATEMATICA,1,2023,NO APROBADO,INGENIERIA ELECTRONICA,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,ea99ec3c7bb2b8948b35,M,2004,COMPUTACION,1,2023,NO APROBADO,INGENIERIA INDUSTRIAL,GUATEMALA,VILLA NUEVA,PRIVADO
2022-09-27,ea99ec3c7bb2b8948b35,M,2004,MATEMATICA,1,2023,NO APROBADO,INGENIERIA INDUSTRIAL,GUATEMALA,VILLA NUEVA,PRIVADO
2022-09-27,3a16013db17673d5e144,M,1999,MATEMATICA,1,2023,NO APROBADO,INGENIERIA CIVIL,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,3a16013db17673d5e144,M,1999,COMPUTACION,1,2023,NO APROBADO,INGENIERIA CIVIL,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,c49cb0ae54d284f15528,M,2003,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,b19fd759a00fec0e60fbd,M,2004,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,b19fd759a00fec0e60fbd,M,2004,MATEMATICA,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PRIVADO
2022-09-27,c79432fc1b603bb67d78,M,2001,COMPUTACION,1,2023,NO APROBADO,INGENIERIA ELECTRONICA,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,c79432fc1b603bb67d78,M,2001,MATEMATICA,1,2023,NO APROBADO,INGENIERIA ELECTRONICA,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,4a6549502b3f8b38e51c,M,1994,COMPUTACION,1,2023,NO APROBADO,INGENIERIA MECANICA ,SACATEPEQUEZ,SAN LUCAS SACATEPEQ,PRIVADO
2022-09-27,4a6549502b3f8b38e51c,M,1994,MATEMATICA,1,2023,NO APROBADO,INGENIERIA MECANICA ,SACATEPEQUEZ,SAN LUCAS SACATEPEQ,PRIVADO
2022-09-27,cdfe8d75e98d99d3bf63,F,2002,COMPUTACION,1,2023,NO APROBADO,INGENIERIA EN CIENCIAS Y ,GUATEMALA,GUATEMALA - CIUDAD ,PUBLICO
2022-09-27,f5f53fcfc1412330814db8,M,2002,COMPUTACION,1,2023,APROBADO,INGENIERIA CIVIL,CHIQUIMULA,IPALA,PRIVADO
